,Report Date,label,Max Residual
416,Fri 28 Jan 2022,R4_M2_8565A,0.12698716
417,Fri 28 Oct 2022,R1_M20_6468A,0.11054903
418,Fri 28 Oct 2022,R1_M20_6477A,0.111887455
419,Fri 28 Oct 2022,R1_M25_4094A,0.122407675
420,Fri 28 Oct 2022,R2_M2_8431J,0.04222396
421,Fri 28 Oct 2022,R3_5889_1,0.02950555
422,Fri 28 Oct 2022,R3_M20_6576A,0.10320526
423,Fri 28 Oct 2022,R4_M2_8545A,0.061460316
424,Fri 28 Oct 2022,R4_M2_8565A,0.051293865
425,Fri 29 Apr 2022,R1_M20_6468A,0.1233502
426,Fri 29 Apr 2022,R1_M20_6477A,0.11368632
427,Fri 29 Apr 2022,R1_M25_4094A,0.12544215
428,Fri 29 Apr 2022,R2_A2_8362A,0.0919987
429,Fri 29 Apr 2022,R2_A2_8380A,0.08889252
430,Fri 29 Apr 2022,R2_M2_8431J,0.046499014
431,Fri 29 Apr 2022,R3_5889_1,0.029974423
432,Fri 29 Apr 2022,R3_M20_6576A,0.10953361
433,Fri 29 Apr 2022,R4_M2_8545A,0.04703626
434,Fri 29 Apr 2022,R4_M2_8565A,0.054046318
435,Fri 29 Jul 2022,R1_M20_6468A,0.14031851
436,Fri 29 Jul 2022,R1_M20_6477A,0.16518575
437,Fri 29 Jul 2022,R1_M25_4094A,0.16733426
438,Fri 29 Jul 2022,R2_A2_8362A,0.23039222
439,Fri 29 Jul 2022,R2_A2_8380A,0.2071822
440,Fri 29 Jul 2022,R2_M2_8431J,0.049258307
441,Fri 29 Jul 2022,R3_5889_1,0.034434125
442,Fri 29 Jul 2022,R3_M20_6576A,0.12650031
443,Fri 29 Jul 2022,R4_M2_8545A,0.13275602
444,Fri 29 Jul 2022,R4_M2_8565A,0.12786031
445,Fri 30 Dec 2022,R1_M20_6468A,0.067831546
446,Fri 30 Dec 2022,R1_M20_6477A,0.08162111
447,Fri 30 Dec 2022,R1_M25_4094A,0.08362302
448,Fri 30 Dec 2022,R2_M2_8431J,0.04017988
449,Fri 30 Dec 2022,R3_5889_1,0.045481343
450,Fri 30 Dec 2022,R3_M20_6576A,0.07440144
451,Fri 30 Dec 2022,R4_M2_8545A,0.123032
452,Fri 30 Dec 2022,R4_M2_8565A,0.10884121
453,Fri 30 Sep 2022,R3_5889_1,0.024784967
454,Mon 01 Aug 2022,R1_M20_6468A,0.18165267
